a,b
0.924561938,0.9823287
0.869869807,0.9847254
1,0.99999976
1,0.9999993
0.989351831,0.99924433
1,0.9999924
0.922421753,0.9856791
0.873612677,0.9979856
1,0.99996233
1,0.99999404
0.957952168,0.9999449
0.983449224,0.9970715
1,0.99921167
0.921647453,0.9987627
0.94856432,0.9895985
1,0.9999988
0.975224395,0.99924004
1,0.9999739
0.946901549,0.99997735
0.89883088,0.99944645
0.983615079,0.9793115
0.947494441,0.993946
0.96662751,0.9882449
0.962672105,0.9831829
1,0.9999758
0.941095412,0.99979717
0.945606387,0.9919967
0.950997656,0.9469271
0.953364683,0.9993055
0.904319175,0.9945229
0.986117441,0.99958414
0.948124686,0.9994729
0.98468395,0.9999081
0.92142568,0.9997379
0.983107702,0.9999893
1,0.9997695
1,0.9999801
0.896656669,0.7060483
1,0.9999926
0.925357699,0.9991604
1,0.9999987
1,0.99995816
1,0.9999932
1,0.99999154
0.952034104,0.99995005
0.96408046,0.9992061
0.950181112,0.99532217
0.978043726,0.9998766
1,0.9999976
1,0.99999523
0.958180995,0.99980766
0.963437632,0.9974074
1,0.9999912
0.949411549,0.9980788
0.947800836,0.99809855
1,0.99998987
0.904849666,0.98628545
0.989649049,0.9997476
1,0.99997866
1,0.99999213
0.003581541,0.00097876
0.988456665,0.9998301
0.938939972,0.98871094
0.960224286,0.9966273
0.952485419,0.99954396
0.866279392,0.9838569
0.94981699,0.9794074
0.973577708,0.999881
0.906782021,0.9947865
0.913606341,0.9997986
0.896082512,0.99901354
0.945107291,0.9994417
0.961802942,0.9999578
1,0.9999844
0.946094702,0.998432
0.975594976,0.9996636
1,0.99998534
1,0.99999964
0.877462067,0.952688
0.97559859,0.99996924
1,0.9999974
1,0.99999654
0.894358249,0.99247485
0.915200016,0.9942589
0.875612068,0.9924055
0.958324894,0.9764272
1,0.99999404
0.968187623,0.9988575
0.952671964,0.99999404
0.965625587,0.9992811
0.851296375,0.9994438
0.979294764,0.9990631
0.933303587,0.9923194
0.983280852,0.99957365
0.966667916,0.97981787
0.989308641,0.99995124
0.967710814,0.9999088
0.938673018,0.99153566
1,0.99999917
0.95272519,0.99853754
0.954130933,0.9987293
0.946323964,0.9957806
1,0.9999944
0.965840266,0.9987758
0.000807286,0.00254844
0.972131246,0.9965784
0.94444909,0.99241203
1,0.99999845
0.91110005,0.99401504
1,0.99999034
