Id,Y,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
23,0,14353,1,1.77,118011,1,0,117916,119324,1,0,1,2,119325,1.964504973,57818,118810,19793,1,119323,1,1,1,33,1
31,0,73800,1,1.77,120141,1,0,120140,261774,1,0,1,1,118749,-0.854506124,3697,118933,118453,1,118747,1,1,1,1,1
47,0,111914,1,1.77,118291,1,0,118290,122739,1,0,1,11,118425,-1.639994368,5163,118597,118424,1,118422,1,1,1,100,1
50,0,22393,1,10.62,118026,1,0,91261,117906,1,4,1,1,118322,-2.257978069,94240,119507,290919,1,118321,1,1,1,1,1
85,0,4678,1,1.77,118052,1,0,117961,117906,1,0,1,36,118322,-0.278396963,54618,118992,290919,1,118321,1,1,1,1,1
120,0,44975,1,8.85,118178,1,0,118555,118557,1,0,1,1,117948,0,52441,118556,292795,1,117946,1,1,1,1,1
146,0,33320,1,1.77,118300,1,0,117961,118362,1,0,1,1,124436,0,3745,118360,118363,1,124435,1,1,1,43,1
158,0,25992,1,5.31,119836,1,0,118212,140424,1,1,1,2,118486,2.452684542,17235,119837,117887,1,118368,1,1,1,2,1
221,0,94135,1,3.54,118413,1,0,117961,117906,1,0,1,11,118322,0.212195322,51761,120370,290919,1,118321,1,1,2,3,1
223,0,75215,1,1.77,118257,1,0,118256,280788,1,14,1,1,126685,-1.337245601,46634,117945,292795,1,126684,1,1,1,1,1
232,0,33641,1,40.71,117877,1,0,117876,179860,1,1,2,1,118570,-1.009597884,53242,117878,19721,1,118568,1,1,1,1,1
265,0,25273,1,1.77,118343,1,0,117961,279443,1,1,1,1,118779,-0.125628421,6273,118437,308574,1,118777,1,1,1,1,1
304,0,13877,1,1.77,119216,1,0,117978,121445,2,1,1,1,117880,0.092762084,19885,117912,19721,1,117879,1,1,1,3391,1
305,0,42084,1,1.77,118052,1,0,117961,117906,1,1,1,3,118322,1.946677261,15746,119742,290919,1,118321,1,1,1,173,1
319,0,39392,1,7.08,118052,1,0,117961,206347,1,0,1,57,120315,0,15894,120304,118424,1,120313,1,1,1,1,1
365,0,41942,1,1.77,118386,3,0,117961,117906,1,6,1,1,118322,1.423708405,3872,118522,290919,1,118321,1,1,1,1,1
413,0,72125,1,1.77,118327,1,0,117961,279443,1,0,1,1,118779,-0.793060535,858,118529,308574,1,118777,1,1,1,1,1
414,0,42084,1,1.77,118052,1,0,117961,125047,1,11,1,1,118705,0.085991308,13794,120417,118704,1,118702,1,1,1,101,1
