Id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,Y
16386,24884,1,23.01,118300,1,0,117961,302830,1,0,1,1,128231,1,770,119181,4673,1,128230,1,1,1,14,1,1
16387,4674,1,1.77,119091,1,0,119062,118036,1,9,1,1,117908,1,16752,143531,290919,1,117905,1,1,1,81,1,1
16389,41739,1,1.77,118413,1,0,117961,117906,1,7,1,2,118322,1,5403,121639,290919,1,118321,1,1,1,5,1,1
16392,25230,1,3.54,117903,1,0,117902,199963,1,0,1,8,119531,1,1216,118507,119006,1,119529,1,1,1,2,1,1
16393,80548,1,3.54,118225,1,0,117961,117906,1,0,1,10,117908,1,17713,122273,290919,1,117905,1,1,1,1,1,1
16396,78149,1,1.77,118026,1,0,91261,117906,1,0,1,1,117908,1,7278,118202,290919,1,117905,1,1,2,19,1,1
16399,7542,1,1.77,118300,1,0,117961,117906,1,0,1,1,117908,1,16959,121977,290919,1,117905,1,1,1,1,1,1
16401,40788,1,3.54,119692,1,0,119691,252830,1,0,1,3,131797,1,49646,118635,119695,1,131795,1,1,1,1,1,1
16408,14661,1,1.77,118080,1,0,118079,304519,2,0,1,1,117880,1,56679,117878,19721,1,117879,1,1,1,1,1,1
16419,23085,1,17.7,118386,1,0,117961,118785,1,0,1,1,118786,1,205,118746,290919,1,118784,1,1,1,3,1,1
16420,76880,1,5.31,117962,2,0,117961,230830,1,0,1,3,119951,1,2409,117904,290919,1,119949,1,1,2,8,1,1
16422,27187,1,1.77,118052,1,0,117961,259703,1,0,1,12,163732,1,2034,118328,118205,1,299559,1,1,1,2,1,1
16424,78744,1,1.77,117969,1,0,117961,123685,1,0,1,1,123686,1,6845,6725,6725,1,123684,1,1,1,4,1,1
16425,13877,1,1.77,118300,2,0,117961,311498,1,2,1,1,118803,1,17881,121030,19793,4,118801,1,1,1,2,1,1
16426,88478,1,1.77,118052,1,0,117961,233714,1,0,1,1,123068,1,17209,123144,118398,1,123067,1,1,1,1,1,1
16427,29274,1,1.77,119091,1,0,119062,148801,1,1,1,8,121374,1,1475,118450,119184,1,121372,1,1,1,1,1,1
16432,79091,2,1.77,118386,1,0,117961,174800,1,0,1,1,118639,1,20126,120677,118638,1,118636,1,1,1,1,1,1
16433,45142,1,3.54,118052,1,0,117961,174445,1,8,1,1,118209,1,52856,118053,270488,1,118207,1,1,1,3,1,1
16436,29687,1,10.62,118026,1,0,91261,126309,1,3,1,1,118749,1,49772,118746,118453,1,118747,1,1,1,1,1,1
16439,38721,1,1.77,117969,1,0,117961,269024,1,0,1,1,120649,1,13787,118970,118398,1,120647,1,1,2,1,1,1
16442,74489,1,1.77,118225,1,0,117961,240983,1,0,1,1,117908,1,141,122273,290919,1,117905,1,1,1,1,1,1
16443,35207,1,7.08,118300,1,0,117961,279443,1,0,1,1,118779,1,820,123719,308574,1,118777,1,1,1,1,1,1
16444,36782,1,1.77,118115,3,0,118114,117886,1,0,1,1,117880,0,17138,117884,19721,1,117879,1,1,1,1,1,0
16457,6722,1,1.77,118327,1,0,117961,117906,1,0,1,1,118322,1,2631,120624,290919,1,118321,1,1,1,28,1,1
16460,75493,1,30.09,117911,1,0,117910,198040,1,0,1,2,118570,1,67326,117912,19721,1,118568,1,1,1,6,1,1
16461,79034,1,1.77,118327,1,0,117961,164752,1,0,1,25,118644,1,51226,118320,118643,1,118641,1,1,1,48,1,1
16464,97514,1,1.77,118413,1,0,117961,137960,1,0,2,1,122647,1,8399,120370,119221,2,122645,1,1,1,10,1,1
16465,33410,1,5.31,118343,1,1,117961,117906,1,1,1,3,118322,1,57757,142038,290919,1,118321,1,1,1,1,1,1
16470,117707,2,1.77,118300,1,0,117961,117906,1,0,1,1,118322,1,5652,121305,290919,1,118321,1,1,1,1,1,1
16482,6976,1,1.77,117903,1,0,117902,130134,1,0,1,1,118454,1,888,7646,118453,1,118451,1,1,1,1,1,1
16486,6687,1,1.77,119623,1,0,117916,117906,1,0,2,1,118322,1,49254,118403,290919,1,118321,1,1,1,8,1,1
16488,42966,1,5.31,117979,1,0,117978,146968,1,0,1,1,118570,0,46546,117912,19721,1,118568,1,1,1,2,1,0
16491,35277,1,8.85,118327,1,0,117961,166363,1,0,1,3,118843,1,8164,120685,118643,1,118841,1,1,1,2,1,1
16493,75833,1,3.54,118291,1,0,118290,118294,1,1,1,1,118296,1,52734,118660,118295,1,118293,1,1,1,1,1,1
16496,14353,1,28.32,118300,1,0,117961,168415,1,1,1,1,118828,1,3654,118631,118424,1,118826,1,1,1,2,1,1
16498,3852,1,1.77,118291,2,0,118290,165069,1,0,1,1,120346,1,4716,120026,118424,1,120344,1,1,3,1,1,1
16499,15796,1,3.54,119302,1,0,119301,150358,1,0,1,1,118322,1,8238,119303,290919,1,118321,1,1,1,3,1,1
16505,974,1,1.77,118343,1,0,117961,133686,1,0,1,1,119435,1,131441,119598,118424,1,119433,1,1,1,1,1,1
