Id,Y,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
10999,1,38603,1,1.77,118343,2,0,117961,256190,1,1,1,1,119174,0.693462707,4638,119987,118467,1,119172,1,1,1,1,1
11000,0,38082,1,180.54,117979,1,0,117978,281735,1,5,1,3,118570,2.3968503,27871,117884,19721,1,118568,1,1,1,1,1
11001,1,38378,1,1.77,118343,1,0,117961,132672,1,0,1,1,132673,-1.703173301,7530,118514,290919,1,132671,1,1,1,1,1
11002,1,38971,1,1.77,118257,1,0,118256,286106,1,0,1,1,118997,1,16900,118623,292795,1,118995,1,1,1,2,1
11003,1,36462,1,1.77,118574,1,0,118573,123460,1,0,1,3,118997,0.82677472,7679,118623,292795,1,118995,1,1,1,3,1
11004,1,28454,1,1.77,118026,1,0,91261,123107,1,1,1,1,123650,-2.540494488,30533,119507,120518,1,123648,1,1,1,1,1
11005,1,38123,1,1.77,117940,1,0,117929,140630,1,0,2,1,118570,0.041259402,46830,117941,19721,1,118568,1,1,1,1,1
11006,1,116987,1,1.77,118091,1,0,118090,117886,1,0,1,1,117880,-3.600337072,79835,117941,19721,1,117879,1,1,1,57,1
11007,1,25992,1,17.7,119256,1,0,216705,160290,1,0,1,1,119851,-2.05514668,33266,129526,118638,1,119849,1,1,1,6,1
11008,1,40530,1,3.54,119070,1,0,118752,118043,1,1,1,1,118046,1,3287,118042,270488,1,118043,1,1,1,14,1
11009,1,32641,1,3.54,119256,1,0,117961,280788,1,0,1,5,119082,1,1723,120943,292795,1,280788,1,1,1,28,1
11010,1,34870,1,1.77,118052,1,0,117961,168365,1,0,1,1,119964,0.61100934,17640,118881,118205,5,119962,1,1,1,7,1
11011,1,79091,1,1.77,117903,1,0,117902,117906,1,0,1,16,117908,1,17834,124725,290919,1,117905,1,1,1,3,1
11012,1,75077,1,3.54,118463,1,0,118315,117906,1,11,1,1,118261,2.276128438,71385,118522,290919,2,118259,1,1,2,1,1
11013,0,25239,1,1.77,118300,1,0,117961,117906,1,0,1,1,118322,-0.425136317,29134,123719,290919,1,118321,1,1,1,3,1
11014,1,6976,1,1.77,118052,1,0,117961,117906,1,0,1,1,117908,1,3868,122938,290919,1,117905,2,1,1,1978,1
11015,1,107553,1,1.77,117962,1,0,117961,117906,1,0,1,1,117908,0.917194777,4698,118352,290919,1,117905,1,1,1,1,1
11016,1,21397,1,23.01,117903,1,0,117902,148801,1,0,1,1,121374,-3.85839445,1475,118450,119184,1,121372,1,1,1,19,1
11017,1,7677,1,1.77,118327,1,0,117961,129558,1,1,1,2,121416,2.808185447,4274,118744,118704,1,121414,1,1,1,64,1
11018,1,27176,1,1.77,118300,1,0,117961,226343,1,1,1,1,118828,-1.01788942,4929,118825,118424,1,118826,1,1,1,1,1
11019,1,42590,1,1.77,118386,1,0,117961,125128,1,1,1,9,118892,1,15554,123144,118398,1,118890,1,1,1,1,1
11020,1,15796,1,1.77,119302,1,0,119301,117906,1,0,1,1,117908,1,112642,119303,290919,1,117905,1,1,1,18,1
11021,1,80681,1,1.77,118386,1,0,117961,117906,1,3,1,2,118322,-1.890736848,7369,118896,290919,1,118321,1,1,1,1,1
11022,1,79120,1,1.77,118343,1,0,117961,144350,1,0,1,1,118425,2.588237928,25631,149210,118424,1,118422,1,1,1,180,1
11023,1,23920,1,7.08,118343,1,0,117961,133833,1,3,1,1,118332,-3.094660094,2582,121710,118331,1,307024,1,1,1,1,1
11024,1,27825,1,1.77,118225,1,0,117961,117906,1,0,1,3,118322,0.062033732,1146,120663,290919,1,118321,1,1,1,1,1
11025,1,15063,1,3.54,118446,1,0,117961,118054,1,1,1,1,118055,-1.017127715,3211,120368,117887,1,118054,1,1,1,2,1
11026,1,34579,1,1.77,118300,1,0,117961,117906,1,5,1,1,118322,1,1397,120722,290919,1,118321,1,1,1,5,1
11027,1,75467,1,1.77,118386,1,0,117961,168365,1,0,1,1,133308,6.029419352,71189,121883,118205,1,133306,2,1,1,14,2
11028,1,77315,1,1.77,118300,1,0,117961,117906,1,0,1,4,118322,1.450988416,16735,118783,290919,1,118321,1,1,1,1,1
11029,1,43378,1,3.54,118225,1,0,117961,136187,1,23,1,8,120774,1,19986,118403,118960,1,120773,1,1,1,3,1
11030,1,20293,1,3.54,118150,1,0,117916,117913,1,0,1,1,117888,1,77372,117884,117887,1,117885,1,1,1,1,1
11031,1,41697,1,1.77,118300,1,0,117961,117906,1,5,2,1,117908,2.386503114,5657,121176,290919,1,117905,1,1,1,3,1
11032,1,31368,1,3.54,118300,1,0,117961,133779,1,0,1,1,118639,1,3722,120059,118638,1,118636,1,1,1,49,1
11033,1,16463,1,1.77,118052,1,0,117961,117906,1,3,1,1,118322,2.854275059,54618,118992,290919,1,118321,1,1,2,1,1
11034,1,4674,2,5.31,118225,1,0,117961,117906,1,0,1,24,118322,-2.323162622,3869,120050,290919,1,118321,1,1,1,3,1
11035,1,80060,1,1.77,118026,1,0,91261,117906,1,0,2,1,117908,1.8502973,16527,118202,290919,1,117905,1,1,1,12,1
11036,1,80033,1,3.54,118052,1,0,117961,117906,1,0,1,1,117908,2.146570876,7551,118867,290919,1,117905,1,1,1,1,1
11037,1,75833,1,1.77,118386,1,0,117961,117906,1,2,1,4,118322,4.239035168,7369,118896,290919,1,118321,1,1,2,1,1
11038,1,1580,1,1.77,118888,1,0,118887,126250,1,0,1,1,118892,-5.953310723,1038,118889,118398,1,118890,1,2,1,3,1
11039,1,41398,1,400.02,119403,1,0,119402,117913,1,0,2,1,117898,-2.710515756,94579,117895,117887,1,117896,1,1,1,2,1
11040,1,4674,1,1.77,118052,1,0,117961,127922,1,1,1,1,120692,0.287795673,23344,119742,290919,1,120690,1,1,1,130,1
11041,1,43367,1,1.77,118225,1,0,117961,120324,1,109,1,1,119096,1,3281,275600,119095,1,119093,1,2,1,1,1
11042,1,34582,1,1.77,118343,1,0,117961,117906,2,0,1,3,118322,-0.354428036,669,120722,290919,1,118321,1,1,1,17,1
11043,1,39000,1,10.62,118291,1,0,118290,118294,1,0,1,1,118296,1,52734,118660,118295,1,118293,1,1,1,3,2
11044,1,17307,1,1.77,118343,1,0,117961,117906,1,0,1,11,117908,1,17694,119598,290919,2,117905,1,1,1,5,1
11045,1,17307,1,1.77,118300,1,0,117961,251171,1,0,1,1,118836,1.523268175,3085,125821,118424,1,118834,1,1,1,49,1
11046,1,20486,1,5.31,118343,1,0,117961,117906,1,0,2,1,118322,-4.375385544,2983,118700,290919,1,118321,1,1,1,514,1
11047,1,26429,1,1.77,118580,1,0,118212,117913,1,1,1,5,117898,-0.693154661,56310,117895,117887,1,117896,1,1,1,1,1
11048,1,79272,1,7.08,118327,1,0,117961,117906,1,0,1,1,118322,2.27383154,8126,118320,290919,1,118321,1,1,1,596,1
11049,1,16190,1,1.77,118327,1,0,117961,127922,1,0,1,32,120692,3.303959621,6220,121645,290919,1,120690,1,1,1,1,1
11050,1,25415,1,1.77,118001,1,0,118000,121396,1,0,1,1,117880,-1.324618927,58967,117941,19721,1,117879,1,1,1,1,1
11051,1,21717,1,1.77,118386,1,0,117961,126089,1,0,1,1,118454,1,7411,118746,118453,1,118451,1,1,1,1,1
11052,1,79020,1,1.77,121786,1,0,121785,217580,1,0,1,1,121124,2.8993669,55789,120299,118612,1,121122,1,1,1,1222,1
11053,1,28471,1,1.77,118052,1,0,117961,244154,1,0,1,2,119745,-1.870911933,5312,119742,3130,1,119743,1,1,1,1,1
11054,1,33053,1,1.77,118343,1,0,117961,185973,1,2,1,1,121917,2.774953797,5017,119598,121916,1,121915,1,1,1,1,1
11055,1,32641,1,1.77,119281,1,0,119280,119359,1,1,1,1,117948,-0.108783136,46645,118623,292795,1,117946,1,1,1,18,1
11056,1,106193,1,1.77,118413,1,0,117961,117906,1,0,1,1,118786,1,33,119968,290919,1,118784,1,1,1,12,1
11057,1,80191,1,1.77,118300,2,0,117961,282370,1,0,1,1,119851,-0.336478696,1558,120312,118638,1,119849,1,1,1,1,1
11058,1,87070,1,1.77,118225,1,0,117961,117906,1,0,1,3,118322,-2.413680757,4549,120050,290919,1,118321,1,1,1,2,1
11059,0,88411,1,5.31,118343,1,0,117961,117906,1,0,1,1,118322,3.657972008,3262,123125,290919,1,118321,1,1,1,5,1
11060,1,15715,1,5.31,119281,1,0,119280,259817,1,47,1,1,126685,0.331225603,15619,118623,292795,1,126684,1,1,1,2,1
11061,1,33591,1,1.77,118491,1,0,11146,281735,1,0,1,1,118570,1,13223,117941,19721,1,118568,1,1,1,6,1
11062,1,99549,1,7.08,118343,2,0,117961,123107,1,0,1,2,120774,0.099055309,7265,119598,118960,1,120773,1,1,1,34,1
11063,1,27123,1,1.77,118327,1,0,117961,117906,1,0,1,1,118322,-0.901564724,70297,118744,290919,1,118321,1,1,1,2,1
11064,1,75077,1,28.32,118026,1,0,91261,117906,1,1,2,2,118322,-0.846908761,95428,118202,290919,1,118321,1,1,1,1,1
11065,1,80836,1,76.11,119597,1,0,119596,311834,1,0,1,19,135811,1,17262,119598,118331,1,135809,1,1,2,98,1
11066,1,45480,1,1.77,118300,1,0,117961,118054,1,0,1,1,118055,0.298439764,8709,128830,117887,1,118054,1,1,1,2,1
11067,0,41590,1,3.54,118052,1,0,117961,117906,1,12,1,1,118322,2.376134087,6482,118992,290919,1,118321,1,1,1,230,1
11068,1,97003,1,67.26,118300,1,0,117961,117906,1,0,1,1,118322,0.691389844,5540,123472,290919,1,118321,1,1,1,1,1
11069,1,32269,1,1.77,118343,1,0,117961,309291,1,0,1,1,118914,1,49453,118660,118424,1,118912,1,1,1,3,2
11070,1,23985,1,63.72,118300,1,0,117961,240983,1,0,2,1,118322,-1.983974007,5652,28618,290919,1,118321,1,1,1,1,1
11071,0,112337,1,8.85,118052,1,0,117961,311360,1,5,1,1,120346,0,4713,120398,118424,1,120344,1,1,1,1,1
11072,1,74685,1,3.54,118327,1,0,117961,117906,1,2,1,1,117908,0.45563945,8686,119830,290919,1,117905,1,1,1,1,1
11073,1,37124,1,3.54,118327,1,0,117961,117906,1,0,1,1,117908,1,55941,122109,290919,1,117905,1,1,1,1,1
11074,1,80482,1,1.77,118343,1,0,117961,117906,1,4,1,1,118322,1,1443,120722,290919,1,118321,1,1,1,6,1
11075,1,33988,1,7.08,118888,1,0,118887,311577,1,1,1,5,118982,-2.11596935,2864,119031,118295,1,118980,1,1,1,5,1
11076,1,25743,1,1.77,118343,1,1,117961,147669,1,6,1,1,124196,0.85112195,1030,120722,118363,1,124194,1,1,1,169,1
11077,1,23920,1,3.54,120343,1,0,120342,124426,1,3,2,3,118836,-2.407548128,310793,119076,118424,1,118834,2,1,1,2727,1
11078,1,34479,1,15.93,118291,1,0,118290,134889,1,0,1,1,132694,2.951607399,5238,118053,270488,1,132692,1,1,1,1,1
11079,1,74043,1,1.77,118343,1,0,117961,117906,1,2,1,2,117908,-5.596152313,6278,118437,290919,1,117905,1,1,1,3,1
11080,1,15012,1,7.08,118413,1,0,117961,117906,1,0,1,1,118322,6.521455123,7454,122007,290919,1,118321,1,1,1,3,2
11081,1,34894,1,173.46,119692,1,0,119691,190850,1,35,1,1,122969,1,23111,118635,119695,1,122967,1,1,1,3,1
11082,1,7542,1,1.77,118343,1,0,117961,117906,2,0,1,2,118322,-1.729367914,3788,120722,290919,1,118321,1,1,1,3,1
