Id,Y,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
16444,0,36782,1,1.77,118115,3,0,118114,117886,1,0,1,1,117880,0,17138,117884,19721,1,117879,1,1,1,1,1
16488,0,42966,1,5.31,117979,1,0,117978,146968,1,0,1,1,118570,0,46546,117912,19721,1,118568,1,1,1,2,1
16510,0,33208,1,3.54,118446,1,0,117961,120605,1,1,1,1,118055,0,17970,148450,117887,1,118054,1,1,1,11,3
16546,0,25992,1,3.54,118300,1,0,117961,117906,1,2,1,3,117908,0,806,123719,290919,2,117905,1,1,1,1,1
16581,0,44721,1,1.77,118343,1,0,117961,117906,1,7,1,1,118322,0,18181,118514,290919,2,118321,1,1,1,1,1
16653,0,35789,1,3.54,118291,1,0,118290,122050,1,6,1,1,119139,0,23103,119136,118474,1,119137,1,1,1,1,1
16705,0,29099,1,8.85,118170,1,0,118169,310843,1,0,1,1,117948,0,15510,125857,292795,1,117946,1,1,1,27,1
16865,0,43163,1,1.77,118327,1,0,117961,117906,1,0,1,1,118322,0,58916,118391,290919,1,118321,1,1,1,1,1
16896,0,33231,1,1.77,117903,1,0,117902,118368,1,6,1,1,118030,0,1725,118507,117887,1,118028,1,1,2,1,1
16995,0,35751,1,1.77,118300,1,0,117961,118302,1,92,1,1,118296,0,16701,118458,118295,1,118293,1,1,1,13,1
17088,0,80777,1,1.77,118343,1,0,117961,311622,2,2,1,1,118332,0,6235,118437,118331,1,307024,1,1,1,4,1
17091,0,34259,1,3.54,120865,1,0,120864,117906,1,1,1,6,117908,0,8698,119824,290919,1,117905,1,1,1,1,1
17111,0,75933,1,1.77,118991,1,0,118990,117906,1,1,1,2,118322,0,7583,118992,290919,1,118321,1,1,1,28,1
17156,0,116627,1,1.77,118300,1,0,117961,117906,1,0,1,1,118786,0,7212,124725,290919,1,118784,1,1,1,10,1
17159,0,80041,1,1.77,118225,1,0,117961,279443,1,1,1,1,118779,0,7012,120050,308574,1,118777,1,1,1,134,1
17277,0,15667,1,3.54,118291,1,0,118290,253147,3,2,1,2,126087,0,2437,19772,119221,1,126085,1,1,1,2,1
17362,0,25811,1,1.77,118587,1,0,118216,139264,1,47,1,1,128095,0,2078,117920,119184,1,128093,1,1,1,2,1
