Id,Y,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
13501,1,38390,1,15.93,118580,1,0,118212,117913,1,0,1,1,117888,-2.126657825,31072,117895,117887,1,117885,1,1,1,1,1
13502,1,7677,1,1.77,118753,1,0,118752,118806,1,0,1,1,118276,1,7761,119121,292795,1,118274,1,1,1,1,1
13503,0,19750,1,1.77,130600,1,0,119062,290919,1,0,1,1,118322,0,16756,139677,290919,1,118321,1,1,1,58,1
13504,1,37088,1,1.77,117962,1,0,117961,124402,1,0,1,1,118786,3.377952046,16922,118501,290919,1,118784,1,1,1,1,1
13505,1,1019,1,175.23,118052,1,0,117961,279443,1,1,1,1,118779,1,21127,119408,308574,1,118777,1,1,1,1,1
13506,1,30582,1,5.31,118574,1,0,118573,285404,1,0,1,3,117948,1.870423129,15530,117945,292795,1,117946,1,1,1,8,1
13507,0,5409,1,1.77,118300,1,0,117961,117906,1,0,1,2,118322,0,29134,123719,290919,1,118321,1,1,1,4,1
13508,1,80781,1,12.39,118343,1,0,117961,270820,1,1,1,1,120774,-1.478974236,4272,120666,118960,1,120773,1,1,1,1,1
13509,1,3263,1,1.77,118225,1,0,117961,311057,1,0,1,1,120814,4.409059296,79114,123173,118638,1,120812,1,1,1,10,1
13510,1,25286,1,1.77,118327,1,0,117961,117906,1,4,1,2,117908,1.661317225,2612,123901,290919,1,117905,1,2,1,86,1
13511,1,45772,1,15.93,118300,1,0,117961,168365,1,4,1,1,119964,0.450747079,1450,118437,118205,1,119962,1,1,1,17,1
13512,1,43430,1,1.77,118225,1,0,117961,255657,1,7,1,1,120058,1.175883322,120000,119136,118474,1,120056,1,1,1,1,1
13513,1,23095,1,1.77,118300,1,0,117961,117906,1,0,1,4,118322,1,1397,120722,290919,1,118321,1,1,1,19,1
13514,1,80156,1,1.77,118026,2,0,91261,123107,1,0,1,13,123047,-1.069208091,30533,119507,120518,1,123045,1,1,1,1,1
13515,1,80130,1,15.93,118300,1,0,117961,117906,1,1,1,1,118322,-0.75755377,29134,123719,290919,1,118321,1,1,1,172,1
13516,1,27081,1,1.77,118300,1,0,117961,176829,1,0,1,1,119589,-1.577553054,5115,118631,118704,1,119587,1,1,1,2,3
13517,1,20291,1,3.54,117927,1,0,117926,117913,1,0,1,1,117888,1,60979,117884,117887,1,117885,1,1,1,83,1
13518,1,14353,1,1.77,118164,1,0,118163,117879,1,0,1,1,117880,0.517930699,50634,117878,19721,1,117879,1,1,1,2,1
13519,0,44728,1,8.85,118052,1,0,117961,117906,1,1,1,3,118322,1.14123943,6482,118992,290919,1,118321,1,1,1,2,1
13520,1,37803,1,1.77,118327,1,0,117961,117906,1,1,1,1,118322,-2.72303096,3878,119830,290919,1,118321,1,1,1,1,1
13521,1,29303,1,58.41,118076,1,0,117980,147003,1,4,1,1,117973,1,62541,118246,117887,1,179731,1,1,1,1,1
13522,1,25992,1,3.54,118327,1,0,117961,279443,1,0,1,1,118687,1,5742,120559,308574,1,118685,1,1,1,1,1
13523,1,75833,1,1.77,118225,1,0,117961,130134,1,0,2,1,118749,-1.209355617,19286,121716,118453,1,118747,1,1,1,1,1
13524,1,80152,1,3.54,118327,1,0,117961,118959,1,13,1,1,120774,-0.502337555,2062,119830,118960,1,120773,1,1,1,88,1
13525,1,38717,1,1.77,117911,1,0,117910,117913,1,2,1,2,117888,-0.996592456,83497,117884,117887,1,117885,1,1,1,5,1
13526,0,968,1,1.77,118170,1,0,118169,204891,1,0,1,1,126685,2.585434144,3606,118179,292795,1,126684,1,1,1,1,1
13527,1,33885,2,1.77,118170,1,0,118169,131394,1,0,1,2,118639,1,57580,118450,118638,1,118636,1,2,2,2,1
13528,1,3852,1,3.54,118343,1,0,117961,125128,1,0,1,1,118892,-1.670780541,3755,118395,118398,1,118890,1,1,1,3,1
13529,1,32633,1,1.77,118300,1,0,117961,117906,1,0,1,1,118322,-1.270587478,18040,118783,290919,1,118321,1,1,4,1,1
13530,1,34520,1,53.1,118343,1,0,117961,117906,1,0,1,1,118322,2.448190713,5396,119993,290919,1,118321,1,1,1,2,1
13531,1,45018,1,1.77,118327,1,0,117961,117906,1,0,1,1,118322,1,2117,119830,290919,1,118321,1,1,1,2,1
13532,1,40203,1,1.77,118052,1,0,117961,172635,1,0,1,2,117908,1,13854,118821,290919,2,117905,1,1,1,1,1
13533,1,80872,1,5.31,118225,1,0,117961,117906,1,2,1,6,117908,0.40061245,3000,120551,290919,1,117905,1,1,1,1,1
13534,1,79298,1,37.17,118257,1,0,118256,121386,1,1,1,1,118639,-0.647560424,2946,119796,118638,1,118636,1,1,1,1,1
13535,1,27784,1,7.08,119135,1,0,119134,200069,1,3,1,1,118209,-1.454176868,101834,118042,270488,1,118207,1,1,1,1,1
13536,1,15063,1,5.31,118300,1,0,117961,120238,1,0,1,58,118055,1,148198,118631,117887,1,118054,1,1,1,3,1
13537,0,72200,1,1.77,118327,1,0,117961,226262,1,0,1,1,132694,-1.858742912,95479,118492,270488,1,132692,1,1,1,3,1
13538,1,18417,2,1.77,118343,1,0,117961,120514,1,0,1,1,118055,1,17261,118833,117887,1,118054,1,1,1,1,1
13539,1,6976,1,1.77,118413,1,0,117961,118448,1,1,1,3,118322,3.25515065,17394,122007,290919,1,118321,1,1,1,3,1
13540,1,6920,1,3.54,122974,1,0,122880,281292,1,0,1,1,120099,2.100636094,1930,122870,270488,1,120097,1,2,1,1,1
13541,1,37773,1,51.33,118413,1,0,117961,117906,1,1,1,14,118322,-3.782371356,51138,119968,290919,1,118321,1,1,1,4,1
13542,1,75833,1,33.63,118343,1,0,117961,117906,1,15,1,1,117908,1,50089,118514,290919,1,117905,1,1,1,1,1
13543,1,78694,1,1.77,118446,1,0,117961,240983,1,0,1,1,118322,1,6046,120317,290919,1,118321,1,1,1,5,1
13544,1,39137,1,1.77,118026,1,0,91261,118204,1,2,1,1,118206,1.126170589,17465,118202,118205,1,118203,1,1,1,3,1
13545,0,80590,1,1.77,118386,1,0,117961,117906,1,1,1,1,118322,-0.946060743,18044,118522,290919,1,118321,1,1,1,1,1
13546,1,87823,1,1.77,118343,1,0,117961,305057,1,0,1,1,118055,0.569095824,7445,122299,117887,1,118054,1,1,1,4,1
13547,1,26322,1,1.77,119135,1,0,119134,126297,1,2,1,1,118687,-0.155815956,3619,125440,308574,1,118685,1,1,1,1,2
13548,1,76428,1,3.54,120343,1,0,120342,125684,1,2,1,1,118786,1.698041176,84891,118631,290919,1,118784,1,1,1,1,1
13549,1,30853,1,67.26,118413,1,0,117961,118959,1,2,1,31,120774,0.801782605,2270,120666,118960,1,120773,1,1,1,2,1
13550,1,18403,1,3.54,118300,1,0,117961,240983,1,1,1,1,118322,0.125656467,5659,124725,290919,1,118321,1,1,1,9,1
13551,1,75638,1,12.39,118463,1,0,118315,117906,1,2,1,1,118322,0.520675798,70691,119214,290919,1,118321,1,1,1,96,1
13552,1,79120,1,47.79,118726,1,0,118725,159053,1,0,1,1,118425,0.192479883,120114,119076,118424,1,118422,2,1,1,1,1
13553,1,41295,1,7.08,118343,1,0,117961,118785,1,2,1,4,118786,1,3883,119987,290919,1,118784,1,1,1,2,1
13554,1,41440,1,3.54,118386,1,0,117961,117906,1,0,1,1,117908,1.855950752,7651,118746,290919,1,117905,1,1,1,62,1
13555,1,19483,1,1.77,118603,1,0,118602,118568,1,0,1,1,118570,1.394709669,58466,118008,19721,1,118568,1,1,1,5,1
13556,1,5389,1,1.77,118300,1,0,117961,240983,1,0,1,1,118322,-0.672149018,5652,28618,290919,1,118321,1,1,1,3,1
13557,1,6976,1,5.31,119597,1,0,119596,117906,1,0,1,2,117908,1.620124869,5262,124656,290919,1,117905,1,1,1,266,1
13558,1,38722,1,7.08,118225,1,0,117961,118406,1,0,1,6,118322,1,7525,120551,290919,1,118321,1,1,1,1,1
13559,1,41246,1,1.77,117962,1,0,117961,306404,1,2,1,1,118332,-0.99870537,43994,118791,118331,1,307024,1,1,1,2,1
13560,1,25237,1,5.31,118343,1,0,117961,309123,1,0,1,2,118836,3.806226707,4322,118833,118424,2,118834,1,1,1,2,1
13561,1,73814,1,1.77,118316,1,0,118315,182258,1,0,1,1,129231,1,73841,140453,119788,1,129229,1,1,1,4,1
13562,1,39332,1,3.54,118343,1,0,117961,132775,1,1,1,1,119745,1.602780159,2944,119796,3130,1,119743,1,1,1,2,1
13563,1,39326,1,1.77,118386,1,0,117961,120316,1,0,1,1,118687,1,36051,121668,308574,1,118685,1,2,1,2,1
